"anonym_id","research_stage","research_stage_feeling_cause"
977,"Data analysis","Not a specific common direction as a team. Too many Changes in the apporach and procedure."
978,"Data collection","Bureaucracy and paperwork being in the way of me doing the research I love. "
979,"Waiting for journal's response and revisions","5 year of work finally recognized with a high level publication"
980,"Project genesis/ first thoughts/ idea creation","Dreaming about what is possible at the start of the proposal/grant writing"
981,"Data collection","Pride: ambitious project that is helping people, even in just the data collection process"
982,"Report writing","great results of the project and supportive project team"
983,"Waiting for journal's response and revisions","Feeling: Anxiety
Cause: The main cause is the uncertainty of the outcome. After months of work, the project is now in the hands of editors and reviewers, and I have no control over the timeline or the decision. This lack of control, combined with the pressure to publish, makes waiting emotionally difficult."
984,"Report writing","I have no idea what causes me to be interested in the things i'm interested in. I do things that I'm interested in because they are interesting, somewhat pleasurable, and I have a sense that they may be of some interest to others and serve some meaningful purpose at some point in time."
985,"Project genesis/ first thoughts/ idea creation","Interest and novelty of the topic AND the nice and smooth collaboration and understanding with others involved."
986,"Waiting for journal's response and revisions","Little acknowledgement for consideable achievements"
987,"Report writing","Manuscript writing brings a lot of relief, as it is a bit of a culmination of a project and that work can be checked off of the list. It also renews my interest in the work, as going through the process of justifying a study and writing up findings helps me feel excited again about what is going on the field and what we might be contributing to the literature. "
988,"Waiting for journal's response and revisions",""
989,"Data analysis","Interest/pride/joy in completing work that I think is very novel and will be well received"
990,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","Revisors are not fair enough to me and they seem to be focused on their own point of view rather than making a good evaluation of the project"
991,"Report writing","Own research is an essential part of our clinical practice and benefits patients."
992,"Report writing","Being creative"
993,"Data analysis","My data analysis is pretty complicated. So every time I learn how to untangle something, makes me feel awesome! I can overcome obstacles all by myself!"
994,"Data analysis","Interesting research question"
995,"Waiting for journal's response and revisions","I was very relieved that the project was nearing a sound conclusion."
996,"Data analysis","To do a very interesting work "
997,"Revisions",""
998,"Waiting for journal's response and revisions","Perceived unfairness of the journal review process."
999,"Waiting for journal's response and revisions","Is challenging to be a female clinician scientist, also coming from a MIC"
1000,"Data analysis","There is a fear at this point of data generation projects that everything will be wrong and flawed. As I work in collaborative environment it gets mixed with fear if disappointing and failing others"
1001,"Waiting for journal's response and revisions","1. My manuscript has been submitted over one year without a final decision. 2. I find my research direction is not well motivated and make no sense."
1002,"Project genesis/ first thoughts/ idea creation","兴趣是科研的最重要原因"
1003,"Data analysis","Contentment - The project is an excellent one and the results will help guide future interventions to reduce the incidence of neurodevelopmental disorders."
1004,"Report writing",""
1005,"Data collection","Having designed the research and reached the data collection stage, seeing that the data has been collected makes me feel very relieved. Therefore, relief."
1006,"Data collection","I'm proud and happy we were able to start collecting data after a long time dealing with legal and bureaucratic issues "
1007,"Report writing",""
1008,"Waiting for journal's response and revisions","very (very intensive)major revision by the team, long waiting, big relief and pride receiving a minor revision vote in a top journal"
1009,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","My sense of contentment stemmed from the satisfaction I derived from the work I completed. most of the project, I did not receive sufficient support from my mentor."
1010,"Data collection","Being not supported"
1011,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","I felt relief because the project so to speak 'grew legs' and took a lot longer to execute than anticipated. In such cases, it is a relief to get rid of the project which sometimes overshadow the positive emotions such as pride.  "
1012,"Preparations (IRB permit, preregistration, experiment preparations)",""
1013,"Data analysis","Interest: I was curious to see the first results"
1014,"Report writing","Admiration) I lead a large community driven initiative. I feel very greatful for and amazed by the people who contributed to my research. 
I think that's the reason for almost all of the positive feelings I experience during this project."
1015,"Revisions","Interest in learning what other colleagues do in my research fields."
1016,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","Content; this was a work I wanted to accomplish for many years and we eventually did it; it was also important that this was a team work, I was happy that I was able to get the team together and get agreement in all major points (this was an international consensus agreement white paper with some controversies in the field). Happy was not listed above, but I would use this to exemplify and synthesise all the positive feelings combined."
1017,"Waiting for journal's response and revisions",""
1018,"Data collection","i am just depressed"
1019,"Revisions","Created more interest, joy and pride as the project was good and we can show impact and be successful."
1020,"Data analysis",""
1021,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","pride"
1022,"Data collection",""
1023,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)",""
1024,"Preparations (IRB permit, preregistration, experiment preparations)","The research project is challenging on many levels, content, collaboration, but also really cool!"
1025,"Data collection",""
1026,"Reality check (e.g., literature search, consultation with colleagues)","Pride in collaboration with co-researchers working under very under-resourced conditions to work on a project of professional worth provides sense of personal and professional value and contribution to the field. "
1027,"Report writing","it's always interesting to write a manuscript and discover connections that only appear when you write"
1028,"Revisions",""
1029,"Preparations (IRB permit, preregistration, experiment preparations)","The interest comes from the fact that I find the topic particularly engaging and that it has meaningful practical implications. At the same time, I feel a real anger in response to the institutional and administrative difficulties that make the implementation of the project challenging and significantly complicate my work. I sometimes have the impression that I have to constantly fight just to be able to do my job."
1030,"Preparations (IRB permit, preregistration, experiment preparations)","There is very little evidence in this field so far. I am therefore very interested in this topic, also in order to ensure that our work will be cost-effective in the future based on proven effectiveness. "
1031,"Data analysis","Curiosity regarding the outcome.
Preoccupation with the task of writing and correcting the manuscript and satisfaction after its completion."
1032,"Data collection","Most intense feeling: interest.
Cause: Hoping for answers on the basis of our findings. "
1033,"Project genesis/ first thoughts/ idea creation","It is the beginning of something, the formulation of new ideas."
1034,"Preparations (IRB permit, preregistration, experiment preparations)","the preparation of IRB documents and study protocol take so long and are so elaborate that it makes me angry and hating the documents I am working on. when it is getting ready and finalized I am happy and proud of the end results and the work I did"
1035,"Project genesis/ first thoughts/ idea creation","Science is my happy island in a confusing, often hurtful and disappointing world. While submerged in research, I get an intense feeling of happiness akin to love."
1036,"Reality check (e.g., literature search, consultation with colleagues)","interest - because there are new things to learn, a new team must be assembled, decisions have to be made. "
1037,"Data analysis","I felt it was fun to see what I had planned come into fruition. "
1038,"Data collection","Very importamt, clinically significant and largely unexplored project, collaborative effort"
1039,"Report writing","Interest: When writing your scientific research down, you move beyond analysis and try to synthesise meaning. It is interesting to see how your findings differ from others or generate same insights and motivate how they can impact your field of research. 

At the same time it also comes with disappointment. Where you have to make do with what you have, but it feels never good enough. You have to look at your research and find its flaws, also feeling like you should have done things differently from the beginning because it would have saved you so much time/effort or it would have provided different insights perhaps. 

And then there is the fear that no one will be interested in actually publishing/reading your research. You wonder why you've spend so much effort on it anyways. 

It is an emotional rollercoaster."
1040,"Project genesis/ first thoughts/ idea creation","It's my original idea, unique, authentic. "
1041,"Preparations (IRB permit, preregistration, experiment preparations)","red tape"
1042,"Project genesis/ first thoughts/ idea creation",""
1043,"Data analysis","Enjoy analyzing "
1044,"Data collection","All the good feelings because of the love for the topic and the opportunity to perform the investigation. But some anger and disgust because I depend on the commitment of other people"
1045,"Report writing","poor quality in writing"
1046,"Preparations (IRB permit, preregistration, experiment preparations)","The ups and downs that go along with recruiting multiple sites, often not having them work out, the time delays that occur that affect data collection, the joys of seeing things work out when they do, the hope that comes along with each contact"
1047,"Waiting for journal's response and revisions","I always take pride in my work - it is who I am. There is always a feeling of relief once the project is sufficiently mature to submit to a journal. And of course I am interested in my own work, or I wouldn't do it"
1048,"Report writing","Because I was writing up"
1049,"Data analysis","Doing data analysis and programming statistics and seeing the results captures my interest and attention - to see results in graphs and charts and tables and to spend time interpreting results is fascinating "
1050,"Data analysis","Pride - we are in the stage where things are coming together and results are coming out. I feel proud of the progress that we've made and excited for dissemination."
1051,"Data collection","lack of time but still moving forward"
1052,"Preparations (IRB permit, preregistration, experiment preparations)","The long administrative process and high administrative costs "
1053,"Report writing","I was pride of myself because it is my first real and great postdoctoral grant.
I also felt a huge relief when completing the report, because I was having a plenty of other tasks in other research projects waiting for me."
1054,"Data collection","I admire my team for the rigor of their work and am pround of their achievements."
1055,"Data analysis","I am learning new techniques and I love to see the results"
1056,"Data analysis",""
1057,"Preparations (IRB permit, preregistration, experiment preparations)","discovery"
1058,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)",""
1059,"Report writing","a colleague's very long delay in doing the analyses"
1060,"Report writing","Lack of clear guidance,"
1061,"Data analysis","My passion is understanding how things work, or why they did not work as planned.  Thus interest runs high in my day-to-day life.  Relief is more variable, but in the last month that one is right up there as we completed the project (thus relieved) and are working on data (thus interest)."
1062,"Waiting for journal's response and revisions",""
1063,"Data collection","I want to know the outcome of the experiments"
1064,"Waiting for journal's response and revisions","Disappointment: Our manuscript was not sent to review in a journal we were hoping to publish it."
1065,"Data collection","Pride. The project is very positive and has the potential to change management internationally."
1066,"Waiting for journal's response and revisions","My feelings of interest and compassion are due to my sense of responsibility to help my student to publish her studies, which will be important for her career development. Compassion is a feeling stemming from understanding the difficulties in publishing in ""high impact journal"" in scientific enterprise, which has a real-life consequence for a trainee's future career. "
1067,"Project genesis/ first thoughts/ idea creation",""
1068,"Data collection","Contentment: the topic is designed by myself"
1069,"Project genesis/ first thoughts/ idea creation","Creation and learning are pleasurable"
1070,"Waiting for journal's response and revisions",""
1071,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","Pride: publishing a paper that received strong reviews makes me feel that I chose the correct career path and that others value my contributions."
1072,"Report writing","A lot of pressure in doing things great"
1073,"Project genesis/ first thoughts/ idea creation",""
1074,"Data collection","I'm exploring researchers experiences of emotionally demanding research. The feelings are mixed, giving me a sense of purpose, admirations and compassion towards PGR students and colleagues, but also feelings dissapoited due to lack of support. Reeinforcing the need to better explore this area. "
1075,"Report writing","Pleasure - writing a project that im truly interested in furthering, following on a project I should have said no to."
1076,"Data collection","Proud to finish data collection (reach a goal)"
1077,"Waiting for journal's response and revisions","regret and anger that i was putting myself though this stress and anguish, disappointment at the anticipation of rejection, and fear of rejection and being made foolish. "
1078,"Revisions","The cause of relief is that I was able to address revisions required by reviewers and supervisors and that they were only minor and did not require changes of analyses or interpretations."
1079,"Report writing","When writing this manuscript, I was deeply interested in the topic and the best way to communicate the study findings so they could be of use to policy-makers."
1080,"Report writing","I enjoyed the colleagues I worked with."
1081,"",""
1082,"Revisions",""
1083,"",""
1084,"Preparations (IRB permit, preregistration, experiment preparations)","The sadness I feel is due to the changes in my ability to conduct my work due to ongoing funding and resource constraints. I had much bigger plans that I am no longer able to complete. "
1085,"Data analysis",""
1086,"Reality check (e.g., literature search, consultation with colleagues)",""
1087,"Revisions","Relief that the manuscript was not rejected"
1088,"Data collection","the attitude of collaborators not engaged in the involvement in the project"
1089,"Project genesis/ first thoughts/ idea creation",""
1090,"Revisions","Absorption in the project that I am involved in."
1091,"Project genesis/ first thoughts/ idea creation",""
1092,"Preparations (IRB permit, preregistration, experiment preparations)","Synopsis for thesis of MD student-- a mandatory work, delayed this year due to unavoidable reasons."
1093,"Waiting for journal's response and revisions","It is a more or less passive phase so the workload is less"
1094,"Data collection","Relief, because a small part of the job has been executed, step by step"
1095,"Project genesis/ first thoughts/ idea creation","I like the idea of creating a new project "
1096,"Preparations (IRB permit, preregistration, experiment preparations)","Lack of time due to other ongoing committements"
1097,"Data analysis","I enjoy my work and think it's important so I generally feel positive feelings. The analysis stage is also the easiest to get lost in and feel positive. However, I've been feeling a mixture of negative feelings like frustration, sadness, disappointment etc. as well because I know that moving forward, my work is unlikely to continue to be funded under the current administration. "
1098,"Report writing","I feel relieved that the experiments are done and the results are coming together."
1099,"Revisions","a revision feels like progress! it's exciting to know my work can be improved (usually) through peer review and then make its way ""out there"" "
1100,"Report writing","topic is interesting"
1101,"Project genesis/ first thoughts/ idea creation","Joy: the beginning feels good! I except more frustration to come. "
1102,"Project genesis/ first thoughts/ idea creation",""
1103,"Waiting for journal's response and revisions",""
1104,"Project genesis/ first thoughts/ idea creation","I work with students and experience pride and joy at their successes."
1105,"Report writing","My research focuses on a particularly sensitive topic and for the current project I am spending large amounts of time embedded in deeply distressing data and trying to write about it in a way that will encourage policy makers & practitioners to take action. The responsibility of this weighs heavily and there is a lack of institutional support to help me manage the impact on my own wellbeing. I feel guilty for not being able to work faster and fear that I won't be able to do justice to the stories and experiences that have been shared with me. I feel sadness, compassion, and love for those whose lives have been impacted by this issue, and I'm trying to feel compassion for myself."
1106,"Preparations (IRB permit, preregistration, experiment preparations)","Fear. I'm still an ECR and I have pressure to conduct and publish studies as soon as possible, to build my own lab, etc. Delays or possible obstacles in these processes might hinder my tenure track and lead to undesired employment/economic conditions."
1107,"Report writing","hapyness of discovery new things"
1108,"Data collection","Curiosity "
1109,"Data analysis","Regretting the research project and the obligations/demands that follow it
"
1110,"Preparations (IRB permit, preregistration, experiment preparations)","Contentment and relief - the IRB submission stage for several sites/countries is not the most interesting/fulfilling part of the project so relief at getting through some admin and contentment because the project is moving forwards. Frustration would have been the most appropriate emotion (but isn't in the list!)"
1111,"Data collection",""
1112,"Preparations (IRB permit, preregistration, experiment preparations)","When planning projects I have to apply for several permits (animal ethical application, work environment applications, etc). This work is very far from my training and therefore often comes with large amounts of negative feelings related to fear of doing something wrong and guilt/shame of not feeling like I have the knowledge and skills to complete tasks that are expected of me. At the same time my interest in the science and compassion for the patients I am trying to help is what pushes me forward through these tasks."
1113,"Reality check (e.g., literature search, consultation with colleagues)","fear that the project is a failure when my grant applications or collaboration offers were rejected. Also fear for the future of the project since we may run out of funding. "
1114,"Data collection","Interest is the most intense. The cause is the content of the project and the knowledge gained from reading studies about the topic. "
1115,"Revisions",""
1116,"Project genesis/ first thoughts/ idea creation",""
1117,"Project genesis/ first thoughts/ idea creation","passion and interest"
1118,"Report writing",""
1119,"Data collection","sheer joy of doing my work"
1120,"Reality check (e.g., literature search, consultation with colleagues)","High interest. I love the discovery process and considering the possibilities. "
1121,"Report writing","Intest = when finalizing the manuscript and trying to get an overview of all the data, I am intested in the findings. In addition, I find it interesting (but also exhausting) to discuss the findings in relation to the literature"
1122,"Data analysis","the research question of the project is at the heart of my research interest and expertise. So I feel well equipped and eager to learn more about it"
1123,"Data collection",""
1124,"Preparations (IRB permit, preregistration, experiment preparations)","Disappointment related to burocracy"
1125,"Report writing","I submitted a manuscript which was badly written by colleagues and had to work on it a lot."
1126,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","Relief and pride that it was published"
1127,"Preparations (IRB permit, preregistration, experiment preparations)","Novelty, contribution to the body of human knowledge"
1128,"Data analysis","Not due to data analysis but due to decisions in other projects. "
1129,"Data analysis","The analysis reveals things I am deeply curious about and I find it very exciting and I am full of anticipation for the full results "
1130,"Preparations (IRB permit, preregistration, experiment preparations)",""
1131,"Report writing","N/a"
1132,"Preparations (IRB permit, preregistration, experiment preparations)",""
1133,"Report writing","Trying to understand how the data fit together for the problem we're studying."
1134,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","Grant application peer reviews were perfunctory and did not support a rejection "
1135,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","Anger because no reason was provided for the rejection after several successful rounds of revision. The last round was an editorial request to improve figures."
1136,"Data collection","The data collection phase is the most fun as it gives an immediate feeling of success (if getting the data works out), especially in this case as it meant we were doing field work, snorkelling in the coral reef, which is a large part of why I do this job at all... The hard parts are before and after "
1137,"Data collection","Data collection is just difficult when you your population is hard-to-reach."
1138,"Preparations (IRB permit, preregistration, experiment preparations)","The project is not really part of my research interests but it was the only one for which I got funding. I'd be interested in doing different research studies but didn't get the funding for that"
1139,"Report writing","Imposter syndrome with the writing of the manuscript/report; guilt of delaying this project so long. "
1140,"Report writing","Interest, when I wrote the results section of my report"
1141,"Data analysis","Interest - because I want to see the result "
1142,"Report writing","Love. I feel passionate while preparing the report of what I conceptualized before"
1143,"Preparations (IRB permit, preregistration, experiment preparations)","Guilt, because I don't feel like I'm doing a good job as a leader and feel like I should be doing better"
1144,"Revisions","frustration"
1145,"Report writing","I was curious how it would turn out."
1146,"Revisions","relief: after the very strenous exercise of having so many things, data, publication etc in your mind finally put that into a revision and beeing allowed to forget all this for a moment. 
Contentment: to have achieved something "
1147,"Report writing","To see that foreign-born women are mistreated"
1148,"Preparations (IRB permit, preregistration, experiment preparations)","Amusement: I find my work, including methods and concepts, amusing by virtue of its novelty and unconventional components. This trickles down into pride, pleasure, and admiration."
1149,"Data collection","Interest - working with the participants in the project and witnessing their curiosity and valuing of the research we are doing"
1150,"Preparations (IRB permit, preregistration, experiment preparations)","delays beyond my control in the research process contributed to my negative feelings. The promise of the research for my country contributed to my positive feelings"
1151,"Reality check (e.g., literature search, consultation with colleagues)","Interest: the main reason is the motivation it created in me for learning more."
1152,"Report writing","This was the first I was truly going through a dataset that it took a graduate student several years to generate. It was wonderful to finally see it, and the story it told, laid out."
1153,"Data collection","Sadness: Have been really struggling with recruitment despite taking all possible measures. "
1154,"Data collection","Admiration for my staff and team members who are working with research subjects"
1155,"Report writing","High disappointment that I can't finalize the manuscript, difficulty balancing immediate deadlines and important patient care tasks with manuscript writing with no external timeline."
1156,"Data collection","Disppointment in my own progress, particularly in securing R01 funding. Stress and shame and feer over potentially needing to shut-down my research lab soon. "
1157,"Preparations (IRB permit, preregistration, experiment preparations)","Frustration after repeated declines"
1158,"Data analysis","Disagreements with PI"
1159,"Data analysis",""
1160,"Preparations (IRB permit, preregistration, experiment preparations)",""
1161,"Data analysis","pro activity"
1162,"Report writing","The method that I designed/invented 6 years ago when I wrote the grant, has panned out near exactly as I predicted"
1163,"Preparations (IRB permit, preregistration, experiment preparations)","not mentioned - but frustration with fragmented institutional processes "
1164,"Reality check (e.g., literature search, consultation with colleagues)","its just disappointing that as a preceptor i cant lead by resident's research independently according to my vision. the HoD has the central role in making the final call of what the topic will be, and usually its haphazard with no clue of what study designs to choose."
1165,"Data analysis","Pride - I'm doing a great job!"
1166,"Waiting for journal's response and revisions","Fear of misconduct or rejection from a fundraiser "
1167,"Reality check (e.g., literature search, consultation with colleagues)","Impostor syndrome"
1168,"Report writing","The joy for writing a paper is a great feeling because I can help others.  
I had no bad feelings (last 10 itens)"
1169,"Data collection",""
1170,"Report writing","proud to be writing and learning more about a project that takes you deeper into the rabbit hole like alice in wonderland"
1171,"Preparations (IRB permit, preregistration, experiment preparations)",""
1172,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","Frustration with process - IRB process challenges, lack of available stats (analysis and interprestation - including ready availability of software) assistance"
1173,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)",""
1174,"Preparations (IRB permit, preregistration, experiment preparations)","a bit of stress"
1175,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","We were really interested in all aspects related with our work in progress with journals. "
1176,"Report writing","Guilt/fear: overdue project deliverable reports"
1177,"Preparations (IRB permit, preregistration, experiment preparations)","Sensation of underachieving, as this presmet project could have been way more powerful should we better data sharing policies "
1178,"Report writing","Seems to be pride. It's by far the most ambitious project I've been part of"
1179,"Data collection","Interest - I feel great privilege in hearing people's stories and I'm finding that my research is generating rich qualitative data that I look forward to analysing"
1180,"Data analysis","How complicated it has been to obtain the samples and coordinate with the researchers. people re often unpleasant and not responding to emails etc. However at this stage I also feel pride that I have persevered and reached this stage. The fear comes from maybe obtaining different results as hoped"
1181,"Data collection","Disappointment at low pace of data collection, high participant drop-out rate from follow-up, insufficient effort of study coordinator and students.  "
1182,"Data analysis","Admiration for patients with difficult circumstances"
1183,"Waiting for journal's response and revisions","It's a big relief to submit a paper because I have worked hard and intensively with it before the submission."
1184,"Preparations (IRB permit, preregistration, experiment preparations)","Pride - my team have overcome a lot of obstacles"
1185,"",""
1186,"Project genesis/ first thoughts/ idea creation",""
1187,"Report writing",""
1188,"",""
1189,"",""
1190,"Data analysis","Interest - As the project coordinator, I find data analysis the most rewarding part of the work. It gives me the opportunity to produce solid evidence, and I truly enjoy using statistical software to analyze data. This phase is the highlight of the project for me."
1191,"Revisions",""
1192,"Report writing",""
1193,"Data analysis",""
1194,"Project genesis/ first thoughts/ idea creation","Interest - I was at the stage of generating new ideas and doing research on the topic."
1195,"Report writing",""
1196,"",""
1197,"Preparations (IRB permit, preregistration, experiment preparations)",""
1198,"Reality check (e.g., literature search, consultation with colleagues)","How the data I was interested in are correlated to my ecperience"
1199,"Project genesis/ first thoughts/ idea creation",""
1200,"Revisions",""
1201,"",""
1202,"Report writing",""
1203,"",""
1204,"Waiting for journal's response and revisions",""
1205,"Preparations (IRB permit, preregistration, experiment preparations)","My research is focused on the genetics of rare diseases. We are currently aiming to generate a new human-derived model, which we believe will be most informative and help us to find a potential treatment in the future. Rare diseases are not studied by researchers, each one is the focus of very few groups. Our main drive in our research is compassion for the patients and the challenge. "
1206,"",""
1207,"Report writing",""
1208,"",""
1209,"Report writing",""
1210,"Report writing",""
1211,"",""
1212,"Report writing",""
1213,"",""
1214,"",""
1215,"Report writing",""
1216,"Revisions",""
1217,"Waiting for journal's response and revisions",""
1218,"",""
1219,"Preparations (IRB permit, preregistration, experiment preparations)",""
1220,"Revisions",""
1221,"",""
1222,"Data collection",""
1223,"Data analysis",""
1224,"Data analysis",""
1225,"Project genesis/ first thoughts/ idea creation",""
1226,"",""
1227,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)",""
1228,"",""
1229,"Data collection",""
1230,"Report writing",""
1231,"Report writing",""
1232,"Preparations (IRB permit, preregistration, experiment preparations)","I felt disappointed for many time while working on my last project as we met many difficulties and it was much more difficult than I expected. We were conducting a survey study and I was expecting to finalize it in like six months; however, it took us more than one year at the end. "
1233,"",""
1234,"Data collection",""
1235,"",""
1236,"Report writing",""
1237,"Data analysis",""
1238,"",""
1239,"",""
1240,"",""
1241,"",""
1242,"Data analysis",""
1243,"Data collection",""
1244,"",""
1245,"Data collection",""
1246,"Revisions",""
1247,"Preparations (IRB permit, preregistration, experiment preparations)",""
1248,"Data analysis",""
1249,"Preparations (IRB permit, preregistration, experiment preparations)",""
1250,"",""
1251,"",""
1252,"",""
1253,"",""
1254,"Data analysis",""
1255,"Preparations (IRB permit, preregistration, experiment preparations)",""
1256,"Revisions",""
1257,"Project genesis/ first thoughts/ idea creation",""
1258,"Project genesis/ first thoughts/ idea creation",""
1259,"Waiting for journal's response and revisions",""
1260,"Report writing",""
1261,"Report writing","The research project is very interesting, hence the feeling of interest."
1262,"",""
1263,"Waiting for journal's response and revisions",""
1264,"Preparations (IRB permit, preregistration, experiment preparations)",""
1265,"Waiting for journal's response and revisions",""
1266,"",""
1267,"Data analysis",""
1268,"Revisions",""
1269,"",""
1270,"Report writing",""
1271,"Report writing",""
1272,"",""
1273,"",""
1274,"Data collection","Data collection is not supposed to be my job and I spent 30 extra work hours on it. "
1275,"Waiting for journal's response and revisions",""
1276,"Project genesis/ first thoughts/ idea creation",""
1277,"Project genesis/ first thoughts/ idea creation",""
1278,"Revisions",""
1279,"",""
1280,"",""
1281,"Preparations (IRB permit, preregistration, experiment preparations)","Problems of financial projects make me sad"
1282,"Preparations (IRB permit, preregistration, experiment preparations)",""
1283,"Waiting for journal's response and revisions",""
1284,"Report writing",""
1285,"Report writing",""
1286,"",""
1287,"",""
1288,"Preparations (IRB permit, preregistration, experiment preparations)","I generally was satisfied/content with how the preparation for our study was going, including the IRB submission/review and pilot testing. "
1289,"Project genesis/ first thoughts/ idea creation",""
1290,"",""
1291,"",""
1292,"Project genesis/ first thoughts/ idea creation",""
1293,"",""
1294,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)",""
1295,"Waiting for journal's response and revisions",""
1296,"Waiting for journal's response and revisions",""
1297,"",""
1298,"Report writing",""
1299,"Project genesis/ first thoughts/ idea creation",""
1300,"",""
1301,"Preparations (IRB permit, preregistration, experiment preparations)",""
1302,"Project genesis/ first thoughts/ idea creation",""
1303,"",""
1304,"",""
1305,"Report writing",""
1306,"Data analysis",""
1307,"Preparations (IRB permit, preregistration, experiment preparations)",""
1308,"",""
1309,"",""
1310,"Waiting for journal's response and revisions","The time waiting to hear back and fear of rejection "
1311,"Preparations (IRB permit, preregistration, experiment preparations)",""
1312,"Report writing","Joy of contributing to literature. Relief of finishing work"
1313,"",""
1314,"Project genesis/ first thoughts/ idea creation",""
1315,"Data collection",""
1316,"Preparations (IRB permit, preregistration, experiment preparations)","my main feeling has been frustration and panic about the length of time sponsorship and ethics has taken. It has been a steep learning curve. i have had several moments of feeling overwhelmed and lack of understanding as to why everything ins research is made to be so hard."
1317,"Waiting for journal's response and revisions",""
1318,"Waiting for journal's response and revisions",""
1319,"Data analysis",""
1320,"Reality check (e.g., literature search, consultation with colleagues)","Fear to fail with negative consequences."
1321,"",""
1322,"Data collection",""
1323,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)",""
1324,"Data collection",""
1325,"",""
1326,"Data analysis",""
1327,"",""
1328,"Waiting for journal's response and revisions",""
1329,"",""
1330,"",""
1331,"",""
1332,"Reality check (e.g., literature search, consultation with colleagues)",""
1333,"Data collection",""
1334,"Revisions",""
1335,"",""
1336,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)",""
1337,"Report writing",""
1338,"Report writing","Mostly because the project is a PhD thesis, so there is a lot of emotions involved. Even though it is mostly positive, it was quite diffcult and emotionally difficult"
1339,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","I feel proud as I manage to do difficult work"
1340,"Data collection",""
1341,"Data collection",""
1342,"Waiting for journal's response and revisions",""
1343,"Report writing",""
1344,"",""
1345,"Report writing","pride: I feel proud of this publication. I think it's my most interesting and best manuscript to date. "
1346,"Data analysis",""
1347,"Data analysis","interest, pleasure: love of statistics, patterns
shame, disappointment: poor data quality, understanding of the presence of system errors and the need to carry out the work anyway"
1348,"Data analysis",""
1349,"",""
1350,"Project genesis/ first thoughts/ idea creation",""
1351,"",""
1352,"Project genesis/ first thoughts/ idea creation",""
1353,"Preparations (IRB permit, preregistration, experiment preparations)",""
1354,"Data collection",""
1355,"Waiting for journal's response and revisions",""
1356,"Project genesis/ first thoughts/ idea creation",""
1357,"",""
1358,"",""
1359,"Preparations (IRB permit, preregistration, experiment preparations)",""
1360,"Preparations (IRB permit, preregistration, experiment preparations)","Interest: I am very interested in the research questions and I am very interested in making this research project work"
1361,"Preparations (IRB permit, preregistration, experiment preparations)","Anger, because non-scientific issues are bothersome and very hindering in study progress."
1362,"",""
1363,"",""
1364,"",""
1365,"Data collection",""
1366,"Reality check (e.g., literature search, consultation with colleagues)",""
1367,"Waiting for journal's response and revisions","Because the research projects that I thought would be useful were not accepted."
1368,"Waiting for journal's response and revisions",""
1369,"Project genesis/ first thoughts/ idea creation",""
1370,"Revisions",""
1371,"",""
1372,"Report writing",""
1373,"",""
1374,"Preparations (IRB permit, preregistration, experiment preparations)","The regulatory oversight committees always seem to find fault with best efforts provided, as if their job was to prevent a maximum of projects from advancing instead of as guardrails for projects with actual problems. I am therefore always rather afraid of investing lots of time for naught in a process where my efforts do not alone control the outcomes, relative to human behaviour. I don't mind it if it's just because my hypothesis was not borne out by reality."
1375,"Report writing",""
1376,"Data collection",""
1377,"",""
1378,"Report writing",""
1379,"",""
1380,"",""
1381,"Project genesis/ first thoughts/ idea creation",""
1382,"Data analysis","Interest and compasstion: Since I´n curious and very happy and pleased that I get the chance to be told all these important stories. 
Sad: Because I share very sad human stories. "
